,id,geoid,population,below50pov,below125pov,below150pov,below185pov,below200pov,below300pov,below400pov,below500pov
61713,1400000US48027020300,"Census Tract 203, Bell County, Texas",11192,597,1071,1208,1507,1616,3838,6583,7854
61714,1400000US48027020401,"Census Tract 204.01, Bell County, Texas",3210,343,708,1037,1436,1502,2170,2649,2911
61715,1400000US48027020402,"Census Tract 204.02, Bell County, Texas",2498,201,864,911,911,1088,1543,1868,2006
61716,1400000US48027020500,"Census Tract 205, Bell County, Texas",3708,86,929,1034,1321,1465,2285,3045,3291
61717,1400000US48027020600,"Census Tract 206, Bell County, Texas",2650,313,764,847,847,892,1471,1822,2074
61718,1400000US48027020701,"Census Tract 207.01, Bell County, Texas",1474,168,757,916,980,1013,1269,1305,1406
61719,1400000US48027020702,"Census Tract 207.02, Bell County, Texas",1658,120,800,986,1166,1242,1467,1584,1634
61720,1400000US48027020800,"Census Tract 208, Bell County, Texas",2863,320,1528,1801,1941,2024,2407,2606,2687
61721,1400000US48027020900,"Census Tract 209, Bell County, Texas",2578,612,1218,1538,1704,1771,2096,2343,2437
61722,1400000US48027021000,"Census Tract 210, Bell County, Texas",4230,345,1380,1977,2501,2698,3380,3686,4063
61723,1400000US48027021100,"Census Tract 211, Bell County, Texas",5584,926,1841,2066,2467,2529,3799,4520,5118
61724,1400000US48027021201,"Census Tract 212.01, Bell County, Texas",3344,128,607,655,773,826,1721,2377,2801
61725,1400000US48027021202,"Census Tract 212.02, Bell County, Texas",3920,312,636,777,1194,1389,2088,2755,3195
61726,1400000US48027021203,"Census Tract 212.03, Bell County, Texas",4556,220,768,960,1363,1486,2379,2548,3028
61727,1400000US48027021301,"Census Tract 213.01, Bell County, Texas",5109,101,440,779,1099,1128,2672,3271,3691
61728,1400000US48027021302,"Census Tract 213.02, Bell County, Texas",2975,198,437,488,627,711,1143,1621,2127
61729,1400000US48027021303,"Census Tract 213.03, Bell County, Texas",9886,966,1389,1745,2198,2418,5361,6649,7837
61730,1400000US48027021400,"Census Tract 214, Bell County, Texas",4350,146,661,748,1054,1223,2158,2536,3174
61731,1400000US48027021500,"Census Tract 215, Bell County, Texas",7019,172,1529,1787,2304,2423,3966,5278,5599
61732,1400000US48027021601,"Census Tract 216.01, Bell County, Texas",5515,319,1497,2029,2757,2974,4014,4410,4632
61733,1400000US48027021602,"Census Tract 216.02, Bell County, Texas",1258,105,255,255,667,680,799,861,955
61734,1400000US48027021700,"Census Tract 217, Bell County, Texas",8629,472,1369,1523,1801,2013,3398,4644,5479
