tract,company,corp,number_refineries,county,population,respiratory_hi,neurological_hi,developmental_hi,reproductive_hi,kidney_hi,immunological_hi,whole_body_hi,total_cancer_risk_(per_million),pt-stationarypoint_cancer_risk_(per_million),benzene_cancer_risk_(per_million),coke_oven_emissions_cancer_risk_(per_million),"1,3-butadiene_cancer_risk_(per_million)",benzene_(year_2017_tons),toluene_(year_2017_tons),ethyl_benzene_(year_2017_tons),xylenes_(mixed_isomers)_(year_2017_tons),diesel_pm_(year_2017_tons),"2,2,4-trimethylpentane_(year_2017_tons)",coke_oven_emissions_(year_2017_tons),"1,3-butadiene_(year_2017_tons)"
48201432001,No refineries,No refineries,0.0,Harris,3464,0.4,0.04,0.05,0.06,0.02,0.03,0.0002,30,3.29564751436952,2.09115223403967,0.0,0.80836060667523,,,,,,,,
48201432002,No refineries,No refineries,0.0,Harris,4734,0.4,0.04,0.05,0.06,0.02,0.03,0.0002,30,3.1901915851625,2.04385022832011,0.0,0.78808954419432,,,,,,,,
48201432100,No refineries,No refineries,0.0,Harris,5054,0.4,0.04,0.05,0.06,0.02,0.03,0.0001,30,2.98944609691315,2.03814893638016,0.0,0.78019638616893,,,,,,,,
48201432200,No refineries,No refineries,0.0,Harris,4043,0.4,0.07,0.04,0.06,0.02,0.03,0.0001,30,2.99747222252236,2.07291733487748,0.0,0.75988349692602,,,,,,,,
48201432300,No refineries,No refineries,0.0,Harris,6521,0.4,0.05,0.04,0.06,0.02,0.02,0.0001,30,2.69448487388534,1.96323152002086,0.0,0.71165448868317,,,,,,,,
48201432400,No refineries,No refineries,0.0,Harris,5548,0.4,0.04,0.04,0.06,0.02,0.02,0.0001,30,2.66983958442152,1.98666653924963,0.0,0.72622679004933,,,,,,,,
48201432500,No refineries,No refineries,0.0,Harris,5529,0.4,0.07,0.04,0.06,0.02,0.03,0.0001,30,3.03683538585554,2.0060204472289,0.0,0.73722819459636,,,,,,,,
48201432600,No refineries,No refineries,0.0,Harris,1888,0.4,0.04,0.05,0.06,0.02,0.03,0.0001,30,2.98619523985808,2.01010948621731,0.0,0.7802103615543,,,,,,,,
48201432701,No refineries,No refineries,0.0,Harris,6721,0.4,0.04,0.05,0.06,0.02,0.03,0.0002,30,3.1457080886158,2.06256405312247,0.0,0.8169868543794,,,,,,,,
48201432702,No refineries,No refineries,0.0,Harris,3384,0.4,0.04,0.05,0.06,0.02,0.03,0.0002,30,3.28444182591697,2.11731536640035,0.0,0.82943748124551,,,,,,,,
48201432801,No refineries,No refineries,0.0,Harris,4767,0.4,0.04,0.05,0.06,0.02,0.02,0.0001,30,2.91552388051387,1.92134590252353,0.0,0.79044909175143,,,,,,,,
48201432802,No refineries,No refineries,0.0,Harris,5616,0.4,0.04,0.05,0.06,0.02,0.03,0.0001,30,2.87234670393424,1.94645456733422,0.0,0.79806798001905,,,,,,,,
48201432901,No refineries,No refineries,0.0,Harris,3484,0.4,0.07,0.04,0.06,0.02,0.03,0.0002,30,3.00496895243674,2.05011448785141,0.0,0.77973171731943,,,,,,,,
48201432902,No refineries,No refineries,0.0,Harris,4476,0.4,0.07,0.05,0.06,0.02,0.03,0.0001,30,2.89787674293628,2.09361845490751,0.0,0.78486858825,,,,,,,,
48201433001,No refineries,No refineries,0.0,Harris,5358,0.4,0.03,0.04,0.06,0.02,0.02,0.0001,30,2.58545472735322,1.99717804838686,0.0,0.7348768375554,,,,,,,,
48201433002,No refineries,No refineries,0.0,Harris,4859,0.4,0.05,0.04,0.06,0.02,0.02,0.0001,30,2.57798089319062,2.03441996972698,0.0,0.74975721228726,,,,,,,,
48201433003,No refineries,No refineries,0.0,Harris,4831,0.4,0.03,0.05,0.06,0.02,0.02,0.0001,30,2.53482214322045,2.02099754383357,0.0,0.74938838269005,,,,,,,,
48201433100,No refineries,No refineries,0.0,Harris,3748,0.4,0.03,0.04,0.06,0.02,0.02,0.0001,30,2.51516061566723,2.10205414875331,0.0,0.76984282965105,,,,,,,,
48201433201,No refineries,No refineries,0.0,Harris,5118,0.4,0.03,0.04,0.05,0.02,0.02,0.0001,30,2.46523332903494,1.96066986458936,0.0,0.70936369432029,,,,,,,,
48201433202,No refineries,No refineries,0.0,Harris,4336,0.4,0.06,0.05,0.06,0.02,0.02,0.0001,30,2.61911601436674,2.03298049682988,0.0,0.74683697308521,,,,,,,,
48201433300,No refineries,No refineries,0.0,Harris,5196,0.4,0.07,0.04,0.06,0.02,0.02,0.0001,30,2.8448700217592,2.02889572363608,0.0,0.74827615340874,,,,,,,,
48201433400,No refineries,No refineries,0.0,Harris,4406,0.4,0.04,0.04,0.06,0.02,0.02,0.0001,30,2.52959604724169,2.03639234307054,0.0,0.74410297467315,,,,,,,,
48201433501,No refineries,No refineries,0.0,Harris,6161,0.4,0.03,0.04,0.06,0.02,0.02,0.0001,30,2.50525409163104,2.10883167645073,0.0,0.75404234964267,,,,,,,,
48201433502,No refineries,No refineries,0.0,Harris,7116,0.4,0.03,0.04,0.06,0.02,0.02,0.0001,30,2.42319213485578,2.12529169385148,0.0,0.77077838329053,,,,,,,,
48201433600,No refineries,No refineries,0.0,Harris,5281,0.4,0.03,0.04,0.06,0.02,0.02,0.0001,30,2.38422360488239,2.16014277092288,0.0,0.82213511911623,,,,,,,,
48201440100,No refineries,No refineries,0.0,Harris,6751,0.4,0.04,0.04,0.05,0.02,0.02,0.0001,30,2.41365522648956,2.08368994756046,0.0,0.76263004070823,,,,,,,,
48201450100,No refineries,No refineries,0.0,Harris,1756,0.4,0.03,0.05,0.06,0.02,0.03,0.0001,30,1.89688039653322,2.25351796039705,0.0,0.80118376532655,,,,,,,,
48201450200,No refineries,No refineries,0.0,Harris,4872,0.4,0.03,0.05,0.06,0.02,0.02,0.0001,30,1.44022069286549,2.01972417981719,0.0,0.71236802898684,,,,,,,,
48201450300,No refineries,No refineries,0.0,Harris,7024,0.4,0.03,0.04,0.06,0.02,0.02,0.0001,30,1.46907630846359,2.0000896947639,0.0,0.70583919363753,,,,,,,,
48201450400,No refineries,No refineries,0.0,Harris,4503,0.4,0.03,0.04,0.05,0.02,0.02,0.0001,30,1.59961409249847,1.92640365718759,0.0,0.69077230474344,,,,,,,,
48201450500,No refineries,No refineries,0.0,Harris,2941,0.4,0.03,0.04,0.05,0.02,0.02,0.0001,30,1.64438243010681,1.83403650977898,0.0,0.64660156471779,,,,,,,,
48201450600,No refineries,No refineries,0.0,Harris,4310,0.4,0.03,0.04,0.05,0.02,0.02,0.0001,30,1.75082868886386,1.92755905044907,0.0,0.68578757350122,,,,,,,,
48201450700,No refineries,No refineries,0.0,Harris,6461,0.4,0.03,0.04,0.06,0.02,0.02,0.0001,30,1.68148785652234,2.06830578129993,0.0,0.72053065727124,,,,,,,,
48201450801,No refineries,No refineries,0.0,Harris,2170,0.4,0.03,0.05,0.06,0.02,0.02,0.0001,30,2.01254062243998,1.98922655581292,0.0,0.70737056669067,,,,,,,,
