census_tract,cancer_percentage
48027022300,0.046
48027022401,0.044000000000000004
48027022402,0.036000000000000004
48027022403,0.042
48027022404,0.040999999999999995
48027022405,0.03
48027022501,0.06
48027022502,0.04
48027022600,0.040999999999999995
48027022801,0.037000000000000005
48027022900,0.044000000000000004
48027023000,0.051
48027023103,0.052000000000000005
48027023104,0.05
48027023105,0.027999999999999997
48027023106,0.026000000000000002
48027023107,0.032
48027023108,0.03
48027023201,0.019
48027023202,0.013999999999999999
48027023203,0.019
48027023204,0.011000000000000001
48027023300,0.064
48027023402,0.069
48027023403,0.086
48027023404,0.07400000000000001
48027023500,0.034
48027980001,0.008
48027980002,
48027980003,
48029110100,0.053
48029110300,0.055
48029110500,0.040999999999999995
48029110600,0.035
48029110700,0.062
48029110800,0.06
48029110900,0.05
48029111000,0.053
48029120100,0.017
48029120300,0.083
48029120400,0.094
48029120501,0.06
48029120502,0.057
48029120600,0.055999999999999994
48029120701,0.071
48029120702,0.09699999999999999
48029120800,0.084
48029120901,0.083
48029120902,0.067
48029121000,0.063
48029121108,0.066
48029121110,0.051
48029121111,0.055
48029121112,0.067
48029121115,0.073
48029121116,0.066
48029121117,0.061
48029121118,0.054000000000000006
48029121119,0.052000000000000005
48029121120,0.046
48029121121,0.063
48029121122,0.063
48029121203,0.057999999999999996
48029121204,0.051
48029121205,0.051
48029121206,0.067
48029121300,0.087
48029121402,0.042
48029121403,0.059000000000000004
48029121404,0.05
48029121501,0.055
48029121504,0.067
48029121505,0.054000000000000006
48029121506,0.07200000000000001
48029121507,0.073
48029121508,0.05
48029121601,0.055
48029121604,0.05
48029121605,0.07200000000000001
48029121606,0.06
48029121701,0.076
48029121702,0.064
48029121802,0.043
48029121803,0.055
48029121804,0.051
48029121808,0.055999999999999994
48029121809,0.057999999999999996
48029121810,0.048
48029121811,0.043
48029121812,0.055999999999999994
48029121813,0.055999999999999994
48029121903,0.066
48029121904,0.053
48029121905,0.044000000000000004
48029121906,0.053
48029121907,0.040999999999999995
48029121908,0.062
48029121909,0.040999999999999995
48029121910,0.055
48029130200,0.049
48029130300,0.047
48029130401,0.05
48029130402,0.053
48029130500,0.05
48029130600,0.05
48029130700,0.05
48029130800,0.057
