state,epa_region,county,fips,tract,population,respiratory_hi,neurological_hi,liver_hi,developmental_hi,reproductive_hi,kidney_hi,ocular_hi,endocrine_hi,hematological_hi,immunological_hi,skeletal_hi,spleen_hi,thyroid_hi,whole_body_hi
TX,EPA Region 6,Austin,48015,48015760501,4184,0.3,0.02,0.008,0.01,0.01,0.002,1e-11,2e-07,2e-07,0.007,9e-05,0.0,0.001,0.0001
TX,EPA Region 6,Austin,48015,48015760502,5104,0.3,0.02,0.008,0.01,0.01,0.003,2e-11,2e-07,2e-07,0.008,0.0001,1e-10,0.001,0.0001
TX,EPA Region 6,Bailey,48017,48017000000,7165,0.2,0.01,0.006,0.008,0.009,0.0005,2e-11,5e-08,2e-07,0.004,2e-05,0.0,0.0002,0.0001
TX,EPA Region 6,Bailey,48017,48017950100,7165,0.2,0.01,0.006,0.008,0.009,0.0005,2e-11,5e-08,2e-07,0.004,2e-05,0.0,0.0002,0.0001
TX,EPA Region 6,Bandera,48019,48019000000,20485,0.3,0.01,0.007,0.01,0.01,0.001,8e-08,2e-07,1e-07,0.005,7e-07,0.0,0.001,0.0001
TX,EPA Region 6,Bandera,48019,48019000101,4330,0.3,0.02,0.007,0.01,0.01,0.001,7e-08,2e-07,7e-08,0.006,6e-07,0.0,0.001,0.0001
TX,EPA Region 6,Bandera,48019,48019000102,4913,0.3,0.02,0.007,0.009,0.01,0.001,2e-08,1e-07,6e-08,0.005,3e-07,0.0,0.001,0.0001
TX,EPA Region 6,Bandera,48019,48019000200,2726,0.2,0.01,0.006,0.007,0.007,0.0007,4e-12,3e-08,2e-08,0.004,1e-09,0.0,0.0002,0.0001
TX,EPA Region 6,Bandera,48019,48019000300,6369,0.3,0.01,0.007,0.01,0.01,0.001,1e-07,3e-07,2e-07,0.006,1e-06,0.0,0.001,0.0001
TX,EPA Region 6,Bandera,48019,48019000400,2147,0.3,0.02,0.007,0.02,0.02,0.001,2e-07,3e-07,2e-07,0.006,1e-06,0.0,0.001,0.0002
TX,EPA Region 6,Bastrop,48021,48021000000,74171,0.3,0.02,0.007,0.01,0.02,0.002,1e-10,3e-07,4e-07,0.007,0.0002,0.0,0.002,0.0001
TX,EPA Region 6,Bastrop,48021,48021950100,8608,0.3,0.02,0.007,0.02,0.02,0.002,2e-10,3e-07,6e-07,0.007,0.0007,0.0,0.001,0.0002
TX,EPA Region 6,Bastrop,48021,48021950200,7955,0.3,0.02,0.007,0.02,0.02,0.002,2e-10,3e-07,8e-07,0.008,0.0006,0.0,0.001,0.0002
