state,epa_region,county,fips,tract,population,total_cancer_risk_(per_million),pt-stationarypoint_cancer_risk_(per_million),or-lightduty-offnetwork-gas_cancer_risk_(per_million),or-lightduty-offnetwork-diesel_cancer_risk_(per_million),or-heavyduty-offnetwork-gas_cancer_risk_(per_million),or-heavyduty-offnetwork-diesel_cancer_risk_(per_million),or-lightduty-onnetwork-gas_cancer_risk_(per_million),or-lightduty-onnetwork-diesel_cancer_risk_(per_million),or-heavyduty-onnetwork-gas_cancer_risk_(per_million),or-heavyduty-onnetwork-diesel_cancer_risk_(per_million),or-refueling_cancer_risk_(per_million),or-heavyduty-hoteling_cancer_risk_(per_million),nr-recreational-inc-pleasurecraft_cancer_risk_(per_million),nr-construction_cancer_risk_(per_million),nr-commerciallawngarden_cancer_risk_(per_million),nr-residentiallawngarden_cancer_risk_(per_million),nr-agriculture_cancer_risk_(per_million),nr-commercialequipment_cancer_risk_(per_million),nr-allother_cancer_risk_(per_million),nr-cmv_c1c2_ports_cancer_risk_(per_million),nr-cmv_c3_ports_cancer_risk_(per_million),nr-cmv_c1c2c3_underway_cancer_risk_(per_million),nr-locomotives_cancer_risk_(per_million),nr-point-airports_cancer_risk_(per_million),nr-_point-railyards_cancer_risk_(per_million),np-industrial_cancer_risk_(per_million),np-commercialcooking_cancer_risk_(per_million),np-oilgas_cancer_risk_(per_million),np-solventscoatings_cancer_risk_(per_million),np-storagetransfer_bulkterminals_gasstage1_cancer_risk_(per_million),np-miscellaneousnonindustrial_cancer_risk_(per_million),np-fuelcombustion_not_rwc_cancer_risk_(per_million),np-residentialwoodcombustionrwc_cancer_risk_(per_million),np-wastedisposal_cancer_risk_(per_million),np-agriculturelivestock_cancer_risk_(per_million),fire_cancer_risk_(per_million),biogenics_cancer_risk_(per_million),secondary_cancer_risk_(per_million),background_cancer_risk_(per_million)
TX,EPA Region 6,Howard,48227,48227950400,3343,20,0.573879835502795,0.12393768061727,0.011497300419271,0.00236770661075,0.004291978557017,0.152925876236878,0.040732304912874,0.007141964592774,0.1674826534208,0.008000175752084,0.326736498361453,0.011162964174038,0.017476534673017,0.003214246380969,0.015494263928866,0.015274716059856,0.015955323426953,0.005372410465427,0.0,0.0,0.0,0.002057929194986,0.02744539523464,0.000745591522704,0.0,0.009515449014126,2.44706041724774,0.01269254285226,0.013864583142553,0.003912040806887,0.009748187328156,0.070783119778382,0.235682716090224,0.000535087688019,0.669745,1.932,12.998,2.82
TX,EPA Region 6,Howard,48227,48227950500,3219,20,0.735261728039375,0.123704659380533,0.011116524085049,0.002313277849552,0.004110734030467,0.15298282334717,0.039771176734177,0.007141451665745,0.167793603184381,0.008534010902149,0.562949075732176,0.011601284927229,0.017014084427901,0.003107783215392,0.015520415933738,0.014108537595681,0.015047327010214,0.004980329628705,0.0,0.0,0.0,0.002094989760532,0.013527132727531,0.0008288941173,0.0,0.008871408355861,2.40495998849641,0.012800984848332,0.014697209097108,0.00393790387099,0.010057444182616,0.071643437303126,0.257139028886925,0.000545303134122,0.635482978254631,1.89649083566324,12.998,2.82
TX,EPA Region 6,Howard,48227,48227950600,4141,20,1.24847907778594,0.108373040192023,0.008840718644227,0.001859619488339,0.003000198948286,0.125996641699728,0.028238419073368,0.005763363314346,0.128320632127839,0.007426299600719,0.297556924078715,0.012305479520852,0.013980132235856,0.002614413309804,0.014128866182426,0.010786825759481,0.011123428289904,0.003493829805156,0.0,0.0,0.0,0.002080240253192,0.006667037689486,0.000480954333463,0.0,0.006108146507148,2.62481393774205,0.011519919712183,0.016103435056153,0.003558935824428,0.01018988625462,0.065443655187402,0.27811693112451,0.000563765419734,0.526837694397209,1.78389084762134,12.998,2.82
TX,EPA Region 6,Howard,48227,48227950700,3335,20,0.987751984361866,0.114761302786074,0.009387535423954,0.002069777978726,0.00332036252423,0.143072650376507,0.032307469445137,0.006602920458116,0.142287328068132,0.008382938363373,0.398691023051756,0.012253145418035,0.015216921717978,0.002912500185859,0.015309942209174,0.012169759447826,0.013154998025522,0.004104312233651,0.0,0.0,0.0,0.002156573488081,0.008690805385969,0.00050933990018,0.0,0.007126836512639,2.60154787151062,0.013352665615481,0.016564974987555,0.003797536141188,0.010931483108763,0.069244775700915,0.316485360200617,0.000627024850496,0.527173310944534,1.78423868065966,12.998,2.82
TX,EPA Region 6,Howard,48227,48227950801,4183,20,0.493950941493337,0.097110439121593,0.008876263782231,0.001598640285056,0.002899804531734,0.126028696615791,0.032417738481865,0.005891717743026,0.132750327261719,0.006421371457078,0.13778678336558,0.01171675190305,0.012193881155578,0.002568943242005,0.010935892890059,0.017116947487685,0.010313367649609,0.003433902762194,0.0,0.0,0.0,0.00159183451132,0.023715995200188,0.000164010954715,0.0,0.00587737354171,2.85804966976003,0.01395722067192,0.012245434323114,0.002728301309818,0.008404879378278,0.057143350915016,0.351409149234356,0.00053983993877,0.577744258905062,1.92177575902462,12.9375840306,2.82
TX,EPA Region 6,Howard,48227,48227950802,6703,20,0.447260314873659,0.10648409170901,0.009865474698295,0.00192326780209,0.003511733950164,0.118278343472629,0.030516775785508,0.00538789398356,0.137869384187875,0.006401715228967,0.225042128327533,0.010812416304376,0.014445337222092,0.002846610908702,0.012814116653294,0.017075837494556,0.01298313476583,0.004320744036915,0.0,0.0,0.0,0.001749282652465,1.02594065197095,0.00023818955814,0.0,0.007668328574863,3.02663708184182,0.011059759165494,0.013209723826938,0.003221533454151,0.008460569174763,0.059144255484087,0.211959525789043,0.000580451453594,0.659290170072597,1.93083813217962,12.991134417425,2.82
TX,EPA Region 6,Howard,48227,48227950900,3577,20,0.60620973859508,0.075500750230097,0.006345567036427,0.001097750225539,0.001797811871868,0.071601459094067,0.016015311839767,0.003262997243041,0.073540869778037,0.00389245064286,0.115271841486568,0.013760597688379,0.008207286359455,0.001789784432176,0.008061764940032,0.011046532497745,0.005931884856078,0.001860425700969,0.0,0.0,0.0,0.001331511757714,0.005418223821514,0.0001927585655,0.0,0.003035461603753,2.53079277785074,0.008854449609463,0.010384050148882,0.001957478529371,0.006937901079871,0.042217185131488,0.243879720302838,0.000536834157168,0.490750356024714,1.81019703662286,12.8753189823874,2.82
TX,EPA Region 6,Hudspeth,48229,48229000000,3476,20,0.131027717207842,0.287481828381958,0.010829831209665,0.000850774787138,0.000750619804932,0.566859226084031,0.060322058605598,0.013296305070951,0.208214471611925,0.031846651182557,0.019363829248454,0.027787039610843,0.030730636286045,0.000439500448073,0.010887248253529,0.076178998617569,0.004405145889715,0.002995630640434,0.0,0.0,0.0,0.029795814005834,0.014277853951495,4.005216931e-06,0.0,0.000361976352192,0.000672397896212,0.002892477267834,0.037125500019252,0.005019028721149,0.00482660558754,0.049627460838794,0.086599340447949,0.001168874155822,0.249530067031639,2.31390189873418,10.2352738780207,2.6786996547756
TX,EPA Region 6,Hudspeth,48229,48229950300,3476,20,0.131027717207842,0.287481828381958,0.010829831209665,0.000850774787138,0.000750619804932,0.566859226084031,0.060322058605598,0.013296305070951,0.208214471611925,0.031846651182557,0.019363829248454,0.027787039610843,0.030730636286045,0.000439500448073,0.010887248253529,0.076178998617569,0.004405145889715,0.002995630640434,0.0,0.0,0.0,0.029795814005834,0.014277853951495,4.005216931e-06,0.0,0.000361976352192,0.000672397896212,0.002892477267834,0.037125500019252,0.005019028721149,0.00482660558754,0.049627460838794,0.086599340447949,0.001168874155822,0.249530067031639,2.31390189873418,10.2352738780207,2.6786996547756
TX,EPA Region 6,Hunt,48231,48231000000,86129,30,0.213168481854439,0.570161489819432,0.027434550973244,0.004504707718729,0.003425712939688,0.384655310824216,0.052046375036889,0.012058717362686,0.165594845391185,0.022203573760263,0.220302929701523,0.112695332154131,0.031031504701667,0.022062369952205,0.03140034340333,0.076854270055951,0.025832175177225,0.006914731809621,0.0,0.0,0.0,0.002263510109304,0.029615686837661,0.000286078311277,0.0,0.016538798843494,0.013269833540642,0.05109158385634,0.04689029763381,0.009027653108512,0.038521736468649,0.202717124799895,0.964504491459996,0.003041873955338,1.78698354340567,2.31652753427997,17.0989095426627,3.0
