WKT,Company,Corp,Site,State,PADD,AD_Mbpd,VDist_Mbpd,CaDis_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Source,Period,Latitude,Longitude,GEOMETRY_X,GEOMETRY_Y
"POINT (-108.434778 45.814531)",EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,BILLINGS,Montana,4,62.9,28.9,23.7,0,12.5,5.1,60.9,10.4,14.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,45.814531,-108.434778,-108.434778,45.814531
"POINT (-94.976798 29.7614310000001)",EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,BAYTOWN,Texas,3,584,297,223,0,123.5,37,794,96,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.761431,-94.976798,-94.976798,29.7614310000001
"POINT (-122.138319 38.072007)",VALERO REFINING CO CALIFORNIA,VALERO ENERGY CORP,BENICIA,California,5,149,85.5,75.3,0,37.2,17.1,169.3,29.5,9,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,38.072007,-122.138319,-122.138319,38.072007
"POINT (-95.605823 37.0495250000001)",COFFEYVILLE RESOURCES RFG & MKTG,CVR ENERGY,COFFEYVILLE,Kansas,2,125,46,36,0,26,10,124,25,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,37.049525,-95.605823,-95.605823,37.0495250000001
"POINT (-111.920665 40.838556)",BIG WEST OIL CO,FJ MANAGEMENT INC,NORTH SALT LAKE,Utah,4,32,0,11.5,0,8.5,6,22.5,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,40.838556,-111.920665,-111.920665,40.838556
"POINT (-97.1677559999999 34.6329450000001)",WYNNEWOOD REFINING CO,CVR ENERGY,WYNNEWOOD,Oklahoma,2,75,40.3,22.2,0,18,5.5,67.5,0,7,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,34.632945,-97.167756,-97.1677559999999,34.6329450000001
"POINT (-108.427359 35.4884680000001)",WESTERN REFINING SOUTHWEST INC,WESTERN REFINING INC.,GALLUP,New Mexico,3,26,0,11.5,0,7.3,1.8,12.1,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,35.488468,-108.427359,-108.427359,35.4884680000001
"POINT (-104.390979 32.844821)",HOLLYFRONTIER NAVAJO REFINING LLC,HOLLYFRONTIER CORP,ARTESIA,New Mexico,3,115,29.6,27,0,24,9.1,140,0,7,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,32.844821,-104.390979,-104.390979,32.844821
"POINT (-111.295316 47.5232120000001)",CALUMET MONTANA REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",GREAT FALLS,Montana,4,35,20,3,0,1,2.5,13.5,0,10,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,47.523212,-111.295316,-111.295316,47.5232120000001
"POINT (-87.611011 33.2004870000001)",HUNT REFINING CO,HUNT CONSLD INC,TUSCALOOSA,Alabama,3,40,18,0,0,15.3,4.2,38.6,32,15,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,33.200487,-87.611011,-87.611011,33.2004870000001
"POINT (-118.236861 33.798301)",VALERO REFINING CO CALIFORNIA,VALERO ENERGY CORP,WILMINGTON ASPHALT PLANT,California,5,6.5,5,0,0,0,0,0,0,3.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,33.798301,-118.236861,-118.236861,33.798301
"POINT (-118.917953 35.294719)",KERN OIL & REFINING CO,KERN OIL & REFINING CO,BAKERSFIELD,California,5,27,0,0,0,5.8,0,14,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,35.294719,-118.917953,-118.917953,35.294719
"POINT (-93.0391 44.7633000000001)",Flint Hills Resources LP,KOCH INDUSTRIES INC,SAINT PAUL,Minnesota,2,339,234,87,0,50.8,30.5,329,67,45,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,44.7633,-93.0391,-93.0391,44.7633000000001
"POINT (-97.525965 27.832974)",Flint Hills Resources LP,KOCH INDUSTRIES INC,CORPUS CHRISTI,Texas,3,304,87.5,110,0,0,19,341.8,15.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,27.832974,-97.525965,-97.525965,27.832974
"POINT (-88.0562 30.7886)",SHELL CHEMICAL LP,ROYAL DUTCH/SHELL GROUP,SARALAND,Alabama,3,95.5,29,0,0,22,0,70.4,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,30.7886,-88.0562,-88.0562,30.7886
"POINT (-118.233663 33.779055)",VALERO REFINING CO CALIFORNIA,VALERO ENERGY CORP,WILMINGTON REFINERY,California,5,87,46,56.3,0,18,22,144,28.8,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,33.779055,-118.233663,-118.233663,33.779055
"POINT (-90.082597 35.084704)",PREMCOR REFINING GROUP INC,VALERO ENERGY CORP,MEMPHIS,Tennessee,2,195,0,70,0,36,12.7,129,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,35.084704,-90.082597,-90.082597,35.084704
"POINT (-75.2577669999999 39.8403040000001)",PAULSBORO REFINING CO LLC,PBF ENERGY CO LLC,PAULSBORO,New Jersey,1,166,90,55,0,32,11.2,144.1,27,21,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,39.840304,-75.257767,-75.2577669999999,39.8403040000001
"POINT (-94.106796 30.111321)",EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,BEAUMONT,Texas,3,359.2,148.8,117.7,0,146,40.7,301.4,48,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,30.111321,-94.106796,-94.106796,30.111321
"POINT (-118.332317 33.8532080000001)",EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,TORRANCE,California,5,157.8,102.3,100.2,0,18,24.2,149.2,53,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,33.853208,-118.332317,-118.332317,33.8532080000001
"POINT (-88.183309 41.4147100000001)",EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,JOLIET,Illinois,2,260,126.7,99.3,0,52.6,29.1,254.6,59.4,15.1,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,41.41471,-88.183309,-88.183309,41.4147100000001
"POINT (-89.974393 29.9351510000001)",Chalmette Refining LLC,PBF ENERGY CO LLC,CHALMETTE,Louisiana,3,197,169,75.6,0,22.7,16.8,163,28,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.935151,-89.974393,-89.974393,29.9351510000001
"POINT (-89.941198 29.933813)",VALERO ENERGY CORPORATION,VALERO ENERGY CORP,MERAUX,Louisiana,3,128,60,0,0,32,0,94.1,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.933813,-89.941198,-89.941198,29.933813
"POINT (-92.067312 46.690572)",CALUMET LUBRICANTS CO LP,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",SUPERIOR,Wisconsin,2,50,20.5,11,0,8,1.6,32.7,0,7.9,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,46.690572,-92.067312,-92.067312,46.690572
"POINT (-93.792592 32.467561)",CALUMET SHREVEPORT LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",SHREVEPORT,Louisiana,3,60,28,0,0,12,0,52.3,0,6.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,32.467561,-93.792592,-93.792592,32.467561
"POINT (-101.365597 35.6931870000001)",WRB REFINING LP,WRB REFINING LP,BORGER,Texas,3,154,80,56,0,31.3,45,187.4,28.4,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,35.693187,-101.365597,-101.365597,35.6931870000001
"POINT (-95.747538 29.077881)",PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,SWEENY,Texas,3,260,132.1,119.7,0,37.5,31.8,306.7,78.7,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.077881,-95.747538,-95.747538,29.077881
"POINT (-111.904823 40.886581)",HOLLYFRONTIER WOODS CROSS REFINING LLC,HOLLYFRONTIER CORP,WOODS CROSS,Utah,4,26.4,0,9.4,0,8.4,6.3,26.2,0,1.8,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,40.886581,-111.904823,-111.904823,40.886581
"POINT (-91.210811 30.477376)",PLACID REFINING CO,PLACID OIL CO,PORT ALLEN,Louisiana,3,82.5,27,25.5,0,11,7.5,56,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,30.477376,-91.210811,-91.210811,30.477376
"POINT (-80.629399 40.610826)",ERGON WEST VIRGINIA INC,ERGON INC,NEWELL,West Virginia,1,23,8.6,0,0,4,0,19.6,0,0.7,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,40.610826,-80.629399,-80.629399,40.610826
"POINT (-119.047922 35.3873300000001)",SAN JOAQUIN REFINING CO INC,SAN JOAQUIN REFINING CO INC,BAKERSFIELD,California,5,25,14.3,0,5,0,0,5.4,0,8,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,35.38733,-119.047922,-119.047922,35.3873300000001
"POINT (-90.067283 38.845944)",WRB REFINING LP,WRB REFINING LP,WOOD RIVER,Illinois,2,353,196.5,101,0,79.7,21.8,267.9,83,23,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,38.845944,-90.067283,-90.067283,38.845944
"POINT (-90.40413 30.001717)",Motiva Enterprises LLC,MOTIVA ENTERPRISES LLC,NORCO,Louisiana,3,250,91.3,118.8,0,40,16.8,185.5,28.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,30.001717,-90.40413,-90.40413,30.001717
"POINT (-122.562522 48.4943690000001)",Tesoro West Coast,TESORO CORP,ANACORTES,Washington,5,125,47,55,0,26,13.8,98,0,5.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,48.494369,-122.562522,-122.562522,48.4943690000001
"POINT (-122.111017 38.019952)",Shell Oil Products US,ROYAL DUTCH/SHELL GROUP,MARTINEZ,California,5,158,102,72,0,31,27.5,268,47.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,38.019952,-122.111017,-122.111017,38.019952
"POINT (-83.453963 41.6800210000001)",BP-HUSKY REFINING LLC,BP HUSKY REFINING LLC,TOLEDO,Ohio,2,160,71.5,55,0,42,11.5,113,35,9,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,41.680021,-83.453963,-83.453963,41.6800210000001
"POINT (-84.1246399999999 40.715965)",LIMA REFINING COMPANY,HUSKY ENERGY INC,LIMA,Ohio,2,170,53,45.3,0,55,18.7,158,23,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,40.715965,-84.12464,-84.1246399999999,40.715965
"POINT (-89.979839 29.684405)",PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,BELLE CHASSE,Louisiana,3,260,103,107,0,48.5,35,190.3,26,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.684405,-89.979839,-89.979839,29.684405
"POINT (-84.614561 37.069685)",CONTINENTAL REFINING COMPANY LLC,CONTINENTAL REFINING CO LLC,SOMERSET,Kentucky,2,6.3,0,0,0,1.3,0,2.2,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,37.069685,-84.614561,-84.614561,37.069685
"POINT (-87.480268 41.668103)",BP PRODUCTS NORTH AMERICA INC,BP PLC,WHITING,Indiana,2,430,263.9,182,0,65,55.8,439.8,102,30,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,41.668103,-87.480268,-87.480268,41.668103
"POINT (-100.883767 46.849832)",Tesoro West Coast,TESORO CORP,MANDAN,North Dakota,2,74.6,0,30.6,0,12.5,4.8,43.1,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,46.849832,-100.883767,-100.883767,46.849832
"POINT (-94.933456 29.374692)",MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,GALVESTON BAY,Texas,3,481,237,200.5,0,138,40,417,33,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.374692,-94.933456,-94.933456,29.374692
"POINT (-111.905455 40.792315)",Tesoro West Coast,TESORO CORP,SALT LAKE CITY,Utah,4,63,0,29,0,11.4,7,41.9,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,40.792315,-111.905455,-111.905455,40.792315
"POINT (-75.2030609999999 39.910061)",PHILADELPHIA ENERGY SOLUTIONS,CARLYLE GROUP,PHILADELPHIA,Pennsylvania,1,355,163.2,138.5,0,86,26,316,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,39.910061,-75.203061,-75.2030609999999,39.910061
"POINT (-83.50492 41.6288900000001)",TOLEDO REFINING CO LLC,PBF ENERGY CO LLC,TOLEDO,Ohio,2,188,0,82,0,51.8,10,149.9,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,41.62889,-83.50492,-83.50492,41.6288900000001
"POINT (-96.0226969999999 36.1391330000001)",HOLLYFRONTIER TULSA REFINING LLC,HOLLYFRONTIER CORP,TULSA WEST,Oklahoma,2,90,32,0,0,0,0,49.6,11,6.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,36.139133,-96.022697,-96.0226969999999,36.1391330000001
"POINT (-151.376675 60.6823350000001)",TESORO ALASKA PETROLEUM CO,TESORO CORP,KENAI,Alaska,5,72,26,0,0,14.2,5,24.5,0,10,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,60.682335,-151.376675,-151.376675,60.6823350000001
"POINT (-96.872662 37.797473)",HOLLYFRONTIER EL DORADO REFINING LLC,HOLLYFRONTIER CORP,EL DORADO,Kansas,2,141,64,44,0,31,29,164.5,19,4,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,37.797473,-96.872662,-96.872662,37.797473
"POINT (-118.986971 35.439492)",ALON BAKERSFIELD OPERATING INC,ALON ISRAEL OIL COMPANY LTD,BAKERSFIELD,California,5,0,0,0,0,8,0.5,29,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,35.439492,-118.986971,-118.986971,35.439492
"POINT (-122.556244 48.470693)",Shell Oil Products US,ROYAL DUTCH/SHELL GROUP,ANACORTES,Washington,5,149,65.8,57.9,0,21.7,12.1,128.9,25.3,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,48.470693,-122.556244,-122.556244,48.470693
"POINT (-118.231229 33.801089)",TESORO REFINING & MARKETING CO,TESORO CORP,WILMINGTON,California,5,107,65,35,0,33,12.5,131,42,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,33.801089,-118.231229,-118.231229,33.801089
"POINT (-122.397126 47.2557860000001)",US OIL & REFINING CO,TRAILSTONE LP,TACOMA,Washington,5,42,19.2,0,0,6.8,4.5,18.6,0,8,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,47.255786,-122.397126,-122.397126,47.2557860000001
"POINT (-122.063905 38.0230260000001)",TESORO REFINING & MARKETING CO,TESORO CORP,MARTINEZ,California,5,170,156.9,73,0,26,15.4,198,53,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,38.023026,-122.063905,-122.063905,38.0230260000001
"POINT (-122.696618 48.830501)",PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,FERNDALE,Washington,5,107.5,50.7,38.5,0,18.4,10.2,73.4,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,48.830501,-122.696618,-122.696618,48.830501
"POINT (-74.2223499999999 40.6358760000001)",PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,LINDEN,New Jersey,1,251,75,145,0,32,18,191,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,40.635876,-74.22235,-74.2223499999999,40.6358760000001
"POINT (-75.403896 39.8191430000001)",MONROE ENERGY LLC,DELTA AIR LINES INC,TRAINER,Pennsylvania,1,208,73,53,0,50,12,153.7,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,39.819143,-75.403896,-75.403896,39.8191430000001
"POINT (-97.101794 34.2044000000001)",VALERO REFINING CO OKLAHOMA,VALERO ENERGY CORP,ARDMORE,Oklahoma,2,88,32,30,0,20.5,7,93.5,0,14.7,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,34.2044,-97.101794,-97.101794,34.2044000000001
"POINT (-104.944705 39.801794)",SUNCOR ENERGY (USA) INC,SUNCOR ENERGY INC,COMMERCE CITY EAST,Colorado,4,38,8.5,9.5,0,11,0,11,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,39.801794,-104.944705,-104.944705,39.801794
"POINT (-122.255632 38.0434740000001)",PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,RODEO,California,5,128,93.2,0,0,34,10,62.5,51,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,38.043474,-122.255632,-122.255632,38.0434740000001
"POINT (-118.243473 33.8108560000001)",PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,WILMINGTON,California,5,147,82,51.6,0,36.2,28.8,150.7,53.2,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,33.810856,-118.243473,-118.243473,33.8108560000001
"POINT (-97.484505 27.816758)",VALERO REFINING CO TEXAS LP,VALERO ENERGY CORP,CORPUS CHRISTI,Texas,3,300,97,95.5,0,49,33.3,302.3,17,38,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,27.816758,-97.484505,-97.484505,27.816758
"POINT (-78.629424 41.9667150000001)",AMERICAN REFINING GROUP INC,AMERICAN REFINING GROUP INC,BRADFORD,Pennsylvania,1,11.8,0,0,0,2.2,0,3.6,0,0.1,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,41.966715,-78.629424,-78.629424,41.9667150000001
"POINT (-104.213903 43.8485210000001)",WYOMING REFINING CO,BLACK ELK REFINING LLC,NEW CASTLE,Wyoming,4,18.5,0,7.5,0,4,1.3,10,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,43.848521,-104.213903,-104.213903,43.8485210000001
"POINT (-115.617898 38.6214860000001)",FORELAND REFINING CORP,FORELAND REFINING CORP,ELY,Nevada,5,5,2.8,0,0,0,0,0,0,1.6,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,38.621486,-115.617898,-115.617898,38.6214860000001
"POINT (-158.110927 21.309493)",HAWAII INDEPENDENT ENERGY LLC,PAR PETROLEUM INC,EWA BEACH,Hawaii,5,95,40,0,11,13.5,0,13,0,15,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,21.309493,-158.110927,-158.110927,21.309493
"POINT (-87.9288769999999 37.906028)",COUNTRYMARK COOPERATIVE INC,COUNTRYMARK COOP INC,MOUNT VERNON,Indiana,2,28.8,14,8.4,0,6.5,5.4,29.2,0,3.7,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,37.906028,-87.928877,-87.9288769999999,37.906028
"POINT (-92.712123 33.363209)",CROSS OIL REFINING & MARKETING INC,MARTIN RESOURCE MANAGEMENT GRP,SMACKOVER,Arkansas,3,7.7,3.9,0,0,0,0,5.5,0,1,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,33.363209,-92.712123,-92.712123,33.363209
"POINT (-95.126797 29.7314410000001)",DEER PARK REFINING LTD PARTNERSHIP,DEER PARK REFINING LTD PTNRSHP,DEER PARK,Texas,3,340,180,80,0,69.5,18.5,376,90,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.731441,-95.126797,-95.126797,29.7314410000001
"POINT (-101.880991 35.95563)",VALERO ENERGY CORPORATION,VALERO ENERGY CORP,SUNRAY,Texas,3,172,50,54.5,0,47,9.8,130.1,0,12,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,35.95563,-101.880991,-101.880991,35.95563
"POINT (-98.1882649999999 28.45921)",VALERO ENERGY CORPORATION,VALERO ENERGY CORP,THREE RIVERS,Texas,3,91,33.5,23.5,0,33.5,6.5,79,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,28.45921,-98.188265,-98.1882649999999,28.45921
"POINT (-104.946497 39.8033110000001)",SUNCOR ENERGY (USA) INC,SUNCOR ENERGY INC,COMMERCE CITY WEST,Colorado,4,72.5,25,21,0,10.9,0,74,0,12.3,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,39.803311,-104.946497,-104.946497,39.8033110000001
"POINT (-93.271135 30.2412150000001)",PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,WESTLAKE,Louisiana,3,273,132,50,0,44,6,229,60,2.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,30.241215,-93.271135,-93.271135,30.2412150000001
