,id,geoid,households,below_poverty,hh_snap,hh_nowork
61753,1400000US48027022600,"Census Tract 226, Bell County, Texas",1784,526,515,16.7
61754,1400000US48027022801,"Census Tract 228.01, Bell County, Texas",1100,291,298,9.9
61755,1400000US48027022900,"Census Tract 229, Bell County, Texas",1611,444,460,24.3
61756,1400000US48027023000,"Census Tract 230, Bell County, Texas",3334,374,487,10.7
61757,1400000US48027023103,"Census Tract 231.03, Bell County, Texas",1782,362,275,17.6
61758,1400000US48027023104,"Census Tract 231.04, Bell County, Texas",1330,223,253,15.6
61759,1400000US48027023105,"Census Tract 231.05, Bell County, Texas",5325,642,349,9.9
61760,1400000US48027023106,"Census Tract 231.06, Bell County, Texas",3335,247,319,6.2
61761,1400000US48027023107,"Census Tract 231.07, Bell County, Texas",2608,398,857,8.8
61762,1400000US48027023108,"Census Tract 231.08, Bell County, Texas",4852,719,850,5.5
61763,1400000US48027023201,"Census Tract 232.01, Bell County, Texas",463,37,6,2.0
61764,1400000US48027023202,"Census Tract 232.02, Bell County, Texas",571,106,43,9.8
61765,1400000US48027023203,"Census Tract 232.03, Bell County, Texas",430,55,31,5.8
61766,1400000US48027023204,"Census Tract 232.04, Bell County, Texas",224,43,11,0.0
61767,1400000US48027023300,"Census Tract 233, Bell County, Texas",3002,335,75,18.3
61768,1400000US48027023402,"Census Tract 234.02, Bell County, Texas",1712,225,275,10.7
61769,1400000US48027023403,"Census Tract 234.03, Bell County, Texas",2441,99,165,20.3
61770,1400000US48027023404,"Census Tract 234.04, Bell County, Texas",1414,147,129,19.4
61771,1400000US48027023500,"Census Tract 235, Bell County, Texas",858,263,197,13.0
61772,1400000US48027980001,"Census Tract 9800.01, Bell County, Texas",0,0,0,-
61773,1400000US48027980002,"Census Tract 9800.02, Bell County, Texas",0,0,0,-
61774,1400000US48027980003,"Census Tract 9800.03, Bell County, Texas",0,0,0,-
61775,1400000US48029110100,"Census Tract 1101, Bexar County, Texas",1786,380,197,23.4
61776,1400000US48029110300,"Census Tract 1103, Bexar County, Texas",1411,516,492,24.3
61777,1400000US48029110500,"Census Tract 1105, Bexar County, Texas",786,578,492,40.7
61778,1400000US48029110600,"Census Tract 1106, Bexar County, Texas",1305,647,645,19.0
61779,1400000US48029110700,"Census Tract 1107, Bexar County, Texas",554,245,219,39.6
61780,1400000US48029110800,"Census Tract 1108, Bexar County, Texas",860,258,145,16.5
61781,1400000US48029110900,"Census Tract 1109, Bexar County, Texas",1016,115,35,5.7
61782,1400000US48029111000,"Census Tract 1110, Bexar County, Texas",1188,264,296,22.0
61783,1400000US48029120100,"Census Tract 1201, Bexar County, Texas",922,33,31,0.7
61784,1400000US48029120300,"Census Tract 1203, Bexar County, Texas",3164,202,0,5.3
61785,1400000US48029120400,"Census Tract 1204, Bexar County, Texas",2172,17,16,12.6
61786,1400000US48029120501,"Census Tract 1205.01, Bexar County, Texas",3231,616,661,16.2
61787,1400000US48029120502,"Census Tract 1205.02, Bexar County, Texas",1706,555,561,12.9
61788,1400000US48029120600,"Census Tract 1206, Bexar County, Texas",3101,394,306,13.9
61789,1400000US48029120701,"Census Tract 1207.01, Bexar County, Texas",2436,289,158,14.6
61790,1400000US48029120702,"Census Tract 1207.02, Bexar County, Texas",2365,177,171,14.2
61791,1400000US48029120800,"Census Tract 1208, Bexar County, Texas",2594,74,23,13.0
61792,1400000US48029120901,"Census Tract 1209.01, Bexar County, Texas",1043,228,132,20.7
61793,1400000US48029120902,"Census Tract 1209.02, Bexar County, Texas",3290,508,496,9.8
61794,1400000US48029121000,"Census Tract 1210, Bexar County, Texas",2616,556,490,15.6
61795,1400000US48029121108,"Census Tract 1211.08, Bexar County, Texas",3400,268,100,15.3
61796,1400000US48029121110,"Census Tract 1211.10, Bexar County, Texas",1775,76,98,11.5
61797,1400000US48029121111,"Census Tract 1211.11, Bexar County, Texas",2281,317,147,15.1
61798,1400000US48029121112,"Census Tract 1211.12, Bexar County, Texas",1793,152,124,12.0
61799,1400000US48029121115,"Census Tract 1211.15, Bexar County, Texas",2233,275,82,17.9
61800,1400000US48029121116,"Census Tract 1211.16, Bexar County, Texas",2212,258,126,12.2
61801,1400000US48029121117,"Census Tract 1211.17, Bexar County, Texas",1930,163,133,13.7
61802,1400000US48029121118,"Census Tract 1211.18, Bexar County, Texas",2449,128,107,16.0
61803,1400000US48029121119,"Census Tract 1211.19, Bexar County, Texas",2260,138,164,6.4
61804,1400000US48029121120,"Census Tract 1211.20, Bexar County, Texas",1699,50,95,14.2
61805,1400000US48029121121,"Census Tract 1211.21, Bexar County, Texas",1011,23,5,9.6
61806,1400000US48029121122,"Census Tract 1211.22, Bexar County, Texas",1827,101,70,9.9
61807,1400000US48029121203,"Census Tract 1212.03, Bexar County, Texas",1619,246,259,18.4
61808,1400000US48029121204,"Census Tract 1212.04, Bexar County, Texas",3817,618,276,13.2
61809,1400000US48029121205,"Census Tract 1212.05, Bexar County, Texas",1456,262,192,7.4
61810,1400000US48029121206,"Census Tract 1212.06, Bexar County, Texas",2631,305,405,16.6
61811,1400000US48029121300,"Census Tract 1213, Bexar County, Texas",2224,172,165,19.9
61812,1400000US48029121402,"Census Tract 1214.02, Bexar County, Texas",2090,160,376,14.7
61813,1400000US48029121403,"Census Tract 1214.03, Bexar County, Texas",2058,313,329,16.4
61814,1400000US48029121404,"Census Tract 1214.04, Bexar County, Texas",1891,868,685,26.1
61815,1400000US48029121501,"Census Tract 1215.01, Bexar County, Texas",2990,244,285,14.6
61816,1400000US48029121504,"Census Tract 1215.04, Bexar County, Texas",2580,106,141,13.6
61817,1400000US48029121505,"Census Tract 1215.05, Bexar County, Texas",1542,126,207,11.7
61818,1400000US48029121506,"Census Tract 1215.06, Bexar County, Texas",1218,149,181,14.0
61819,1400000US48029121507,"Census Tract 1215.07, Bexar County, Texas",1412,123,173,18.6
61820,1400000US48029121508,"Census Tract 1215.08, Bexar County, Texas",1216,362,406,12.2
61821,1400000US48029121601,"Census Tract 1216.01, Bexar County, Texas",2019,257,299,17.4
61822,1400000US48029121604,"Census Tract 1216.04, Bexar County, Texas",2925,229,153,8.0
61823,1400000US48029121605,"Census Tract 1216.05, Bexar County, Texas",715,89,8,22.7
61824,1400000US48029121606,"Census Tract 1216.06, Bexar County, Texas",2158,204,59,22.8
61825,1400000US48029121701,"Census Tract 1217.01, Bexar County, Texas",1500,178,74,20.0
61826,1400000US48029121702,"Census Tract 1217.02, Bexar County, Texas",2758,324,146,19.5
61827,1400000US48029121802,"Census Tract 1218.02, Bexar County, Texas",2811,341,229,10.6
61828,1400000US48029121803,"Census Tract 1218.03, Bexar County, Texas",1689,124,57,14.1
61829,1400000US48029121804,"Census Tract 1218.04, Bexar County, Texas",2458,620,334,19.6
61830,1400000US48029121808,"Census Tract 1218.08, Bexar County, Texas",1016,55,48,9.0
61831,1400000US48029121809,"Census Tract 1218.09, Bexar County, Texas",1696,63,97,10.7
61832,1400000US48029121810,"Census Tract 1218.10, Bexar County, Texas",1440,101,108,5.4
61833,1400000US48029121811,"Census Tract 1218.11, Bexar County, Texas",1804,179,89,8.7
61834,1400000US48029121812,"Census Tract 1218.12, Bexar County, Texas",2030,301,177,12.0
61835,1400000US48029121813,"Census Tract 1218.13, Bexar County, Texas",545,57,24,13.8
61836,1400000US48029121903,"Census Tract 1219.03, Bexar County, Texas",2140,129,8,10.7
61837,1400000US48029121904,"Census Tract 1219.04, Bexar County, Texas",1055,15,6,9.6
61838,1400000US48029121905,"Census Tract 1219.05, Bexar County, Texas",2274,194,0,7.3
61839,1400000US48029121906,"Census Tract 1219.06, Bexar County, Texas",2181,44,53,14.2
61840,1400000US48029121907,"Census Tract 1219.07, Bexar County, Texas",4359,146,55,5.8
61841,1400000US48029121908,"Census Tract 1219.08, Bexar County, Texas",824,17,6,11.5
61842,1400000US48029121909,"Census Tract 1219.09, Bexar County, Texas",3185,85,45,12.9
61843,1400000US48029121910,"Census Tract 1219.10, Bexar County, Texas",2452,72,16,14.5
61844,1400000US48029130200,"Census Tract 1302, Bexar County, Texas",539,106,184,21.5
61845,1400000US48029130300,"Census Tract 1303, Bexar County, Texas",969,284,302,26.8
61846,1400000US48029130401,"Census Tract 1304.01, Bexar County, Texas",1269,352,366,23.7
61847,1400000US48029130402,"Census Tract 1304.02, Bexar County, Texas",1258,523,499,16.6
61848,1400000US48029130500,"Census Tract 1305, Bexar County, Texas",1524,595,610,12.6
61849,1400000US48029130600,"Census Tract 1306, Bexar County, Texas",1328,437,457,11.6
61850,1400000US48029130700,"Census Tract 1307, Bexar County, Texas",906,412,289,32.3
61851,1400000US48029130800,"Census Tract 1308, Bexar County, Texas",1877,638,683,20.1
61852,1400000US48029130900,"Census Tract 1309, Bexar County, Texas",1610,462,574,9.9
61853,1400000US48029131000,"Census Tract 1310, Bexar County, Texas",1797,729,461,20.4
61854,1400000US48029131100,"Census Tract 1311, Bexar County, Texas",746,193,231,20.8
61855,1400000US48029131200,"Census Tract 1312, Bexar County, Texas",1137,354,356,18.0
61856,1400000US48029131300,"Census Tract 1313, Bexar County, Texas",2098,453,344,21.3
